colecao,nome_produto,avaliacao_aprovacao,numero_avaliacoes,preco
MYSELF,PINGENTE SÍMBOLO SIGNO LEÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO AQUÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SIGNO TOURO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO SAGITÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO LIBRA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO LEÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO VIRGEM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO PEIXES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO ESCORPIÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO GEMEOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 93,60"
MYSELF,PINGENTE SIGNO CANCER - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SÍMBOLO SIGNO LIBRA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PULSEIRA SIGNO GEMEOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 309,60"
MYSELF,PINGENTE SIGNO CAPRICÓRNIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PULSEIRA SIGNO ESCORPIÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO CAPRICÓRNIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO CANCER - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA MYSELF ELOS - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 267,00"
MYSELF,PULSEIRA MYSELF ELOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 267,00"
MYSELF,PULSEIRA SIGNO ÁRIES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA GANCHO MYSELF M - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PULSEIRA GANCHO MYSELF G - DOURADO,width:100.0%;,3 Avaliações,"R$ 87,00"
MYSELF,PULSEIRA SIGNO AQUÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA ALGEMA MYSELF G - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 237,00"
MYSELF,PULSEIRA ALGEMA MYSELF M - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 237,00"
MYSELF,PINGENTE TREVO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE SÍMBOLO SIGNO VIRGEM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO TOURO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO SAGITÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO PEIXES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE MEDALHA OLHO GREGO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE LETRA O - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE DENTE DE SABRE METAL - PRATA,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE BUZIO PAVE - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA S - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PULSEIRA SIGNO LEÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA ROYAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,BOTTON LETRA I - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA G - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PULSEIRA SIGNO VIRGEM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO TOURO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO SAGITÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO PEIXES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO LIBRA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
